"id","EnterpriseID","LAST","FIRST","MIDDLE","SUFFIX","DOB","GENDER","SSN","ADDRESS1","ADDRESS2","ZIP","MOTHERS_MAIDEN_NAME","MRN","CITY","STATE","PHONE","EMAIL","ALIAS","MIDINIT","M","D","Y","Weight"
"1"," 359","15716793","GRISHKO","BABY","GIRL","","5/25/2009","F","","2695 BRIGGS AVE","B7","10458","","4884339","BRONX","NY","934-235-1683","BGRISHKO@AMGGT.COM","DONNA DAVID FIELD","G","5","25","2009",""
"2","1912","15971939","GRISHKO","BABY","GIRL","","5/25/2003","F","","2695 BRIGGS AVE","C7","10458","","4884332","BRONX","NY","934-235-1683","","","G","5","25","2003","0.7502627"
"3","","","","","","","","","","","","","","","","","","","","","","","",""
"4"," 474","15381125","NORRIS","MICHELLE","","","10/25/1935","F","852-24-4657","597 E 139TH ST","2L","10454","","4767638","BRONX","NY","570-879-7211","","","","10","25","1935",""
"5","2026","15674790","NORRIS","MICHELLE","J","","10/25/1965","F","836-50-1378","597 E 139TH ST","2L","10454","","4767623","BRONX","NY","570-879-7211","","","J","10","25","1965","0.7219126"
"6","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1501","15607971","KRET","CARMEN","A","","12/19/1989","F","852-50-9044","1085 ANDERSON AVE","6A","10452",""," 140653","BRONX","NY","862-652-8009","CKRET@AMGGT.COM","","A","12","19","1989",""
"8","3032","15668059","KRET","DAWNA","A","","12/18/1989","F","852-50-9044","1595 UNIONPORT RD","1","10462",""," 140654","BRONX","NY","862-652-8009","","","A","12","18","1989","0.7155902"
"9","","","","","","","","","","","","","","","","","","","","","","","",""
"10","  64","15589590","SILVERMAN","JULIANNA","LILLIAN","","12/16/1993","F","835-37-4697","116 W 117TH ST","2C","10026","","1263864","NEW YORK","NY","551-658-8747","JSILVERMAN@AMGGT.COM","","L","12","16","1993",""
"11","1619","15698627","SILVERMAN","JULIANNA","LHLLIAN","","10/11/2013","F","","117 W 116TH ST","2C","10026","","1263808","NEW YORK","NY","551-658-8747","","","L","10","11","2013","0.7123341"
"12","","","","","","","","","","","","","","","","","","","","","","","",""
"13"," 931","15394938","QUINONES","JESENIA","MARGARITA","","4/18/1975","F","","10125 80TH ST","PVT","11416","","4831508","OZONE PARK","NY","732-692-7465","JQUINONES@AMGGT.COM","","M","4","18","1975",""
"14","2479","15720287","QUINONES","JESENIA","MARGARITA","","4/18/1985","F","","10125 80TH ST","","11416","","4831512","OZONE PARK","NY","732-692-7465","","","M","4","18","1985","0.7111081"
"15","","","","","","","","","","","","","","","","","","","","","","","",""
"16"," 402","15783924","NELSON","SUZANNE","KAYLA","","10/25/1980","F","847-93-4683","1460 COLLEGE AVE","2D","10457","","4763416","BRONX","NY","934-828-3317","","","K","10","25","1980",""
"17","1954","15945495","NELSON","SUZANNE","K","","12/20/2006","F","","1460 COLLEGE AVE","2D","10457","","4763403","BRONX","NY","934-828-3317","","","K","12","20","2006","0.7048505"
"18","","","","","","","","","","","","","","","","","","","","","","","",""
"19"," 939","15547456","LONGHOFER","TIMOTHY","JEFFREY","","4/12/1945","M","803-26-5497","1938 E TREMONT AVE","2B","10462",""," 974737","BRONX","NY","718-352-3956","TLONGHOFER@AMGGT.COM","","J","4","12","1945",""
"20","2487","15837649","LONGHOFER","TIMOTHY","JEFFREY","","10/19/1920","M","","1938 E TREMONT AVE","2B","10462",""," 974604","BRONX","NY","718-352-3956","","","J","10","19","1920","0.7010255"
"21","","","","","","","","","","","","","","","","","","","","","","","",""
"22","1014","15485852","ALSTON","IRENE","JOANNE","","12/20/1992","F","","3111 55TH ST","PH","11377","","4768051","WOODSIDE","NY","934-612-2724","","","J","12","20","1992",""
"23","2562","15897951","ALSTON","IRENE","JOANNE","","12/29/1969","F","809-38-9806","3111 55TH ST","","11377","","4768054","WOODSIDE","NY","934-612-2724","","","J","12","29","1969","0.6971406"
"24","","","","","","","","","","","","","","","","","","","","","","","",""
"25"," 266","15586200","FLORES","JANE","STEPHAINE","","10/27/1990","F","853-98-7645","1466 TOWNSEND AVE","2C","10452","","4760675","BRONX","NY","347-433-1167","","","S","10","27","1990",""
"26","1820","15819731","FLORES","JANE","STEPHAINE","","12/13/2010","F","","1466 TOWNSEND AVE","2C","10452","","4760678","BRONX","NY","347-433-1167","JFLORES@AMGGT.COM","","S","12","13","2010","0.6926206"
"27","","","","","","","","","","","","","","","","","","","","","","","",""
"28","1041","15394196","MIRAMONTES","DONG","DAVID","","6/10/1947","M","","703 E 187TH ST","2A","10458","","4779544","BRONX","NY","959-537-7529","DMIRAMONTES@AMGGT.COM","","D","6","10","1947",""
"29","2590","15766930","MIRAMONTES","DONG","DAVID","","10/4/1920","M","844-18-6333","703 E 187TH ST","2A","10458","","4779552","BRONX","NY","959-537-7529","","","D","10","4","1920","0.6911059"
"30","","","","","","","","","","","","","","","","","","","","","","","",""
"31"," 237","15655877","GREEN","JOANNE","GOLDEN","","10/15/1980","F","863-31-8357","941 INTERVALE AVE","3J","10459","","4779261","BRONX","NY","203-296-1532","","","G","10","15","1980",""
"32","1791","15990380","GREEN","JOANNE","GOLDEN","","9/19/2006","F","","941 INTERVALE AVE","3J","10459","","4779279","BRONX","NY","203-296-1532","JGREEN@AMGGT.COM","ARYANA L REHKOP","G","9","19","2006","0.6909392"
"33","","","","","","","","","","","","","","","","","","","","","","","",""
"34"," 975","15570997","SMITH","DEAN","DOUGLAS","","12/9/1948","M","","575 SOUTHERN BLVD","34","10455","","1076023","BRONX","NY","201-971-2092","","","D","12","9","1948",""
"35","2523","15973101","SMITH","DEAN","D","","10/22/1920","M","898-25-4867","575 SOUTHERN BLVD","34","10455","","1076010","BRONX","NY","201-971-2092","","","D","10","22","1920","0.6894629"
"36","","","","","","","","","","","","","","","","","","","","","","","",""
"37"," 642","15449332","GRANT","RONALD","J","","10/25/1942","M","872-89-1997","505 W 141ST ST","7","10031",""," 965376","NEW YORK","NY","201-381-3285","","","J","10","25","1942",""
"38","2193","15953260","GRANT","RONALD","JAMES","","12/17/1971","M","","505 W 141ST ST","7","10031",""," 965667","NEW YORK","NY","201-381-3285","","","J","12","17","1971","0.6889841"
"39","","","","","","","","","","","","","","","","","","","","","","","",""
"40","1377","15399078","SMITH","GERALD","CLARENCE","","10/8/1936","M","","16834 119TH AVE","PH","11434","","4818043","JAMAICA","NY","484-275-6196","GSMITH@AMGGT.COM","","C","10","8","1936",""
"41","2907","15727617","SMITH","KERALD","CBARENCE","","10/8/1926","M","850-40-2428","16834 119TH AVE","PH","11434","","4818039","JAMAICA","NY","908-687-4185","","","C","10","8","1926","0.6870668"
"42","","","","","","","","","","","","","","","","","","","","","","","",""
"43"," 335","15451574","ROBINSON","ALFRED","JOHN","","10/22/1953","M","","500 TRINITY AVE","5A","10455","","4809814","BRONX","NY","934-819-6214","","","J","10","22","1953",""
"44","1888","15561837","ROBINSON","ALFRED","JOHN","","12/9/1977","M","875-76-9718","500 TRINITY AVE","5N","10455","","4809800","BRONX","NY","934-819-6214","","","J","12","9","1977","0.6868678"
"45","","","","","","","","","","","","","","","","","","","","","","","",""
"46"," 660","15388431","MIESNER","MABEL","SHIRLEY","","10/6/1920","F","","1270 GERARD AVE","1E","10452","","1008352","BRONX","NY","484-119-3385","","","S","10","6","1920",""
